Locus	Nr of genes in locus	Chromosome and position	Ensembl Gene ID	Gene symbol	Nominal P value	Gene closest to lead SNP	Gene bio-type	Top cis eQTL SNP (Westra et al. Nature Genetics 2014)	False discovery rate < 5%
rs10190310;rs11883500;rs2292884;rs6760963	3	chr2:238394071-238510257	ENSG00000115648	MLPH	0.009628922484404731	true	protein_coding+processed_transcript+retained_intron+nonsense_mediated_decay	-	No
rs1476161	8	chr17:8043809-8173809	ENSG00000196544	C17orf59	0.010740948164822997	true	protein_coding	rs4792722	No
rs3825393	5	chr12:109826524-110035067	ENSG00000139428	MMAB	0.011198234057838492	false	protein_coding+processed_transcript+nonsense_mediated_decay+retained_intron	rs918106	No
rs17122571	8	chr12:48366748-48745197	ENSG00000079387	SENP1	0.01176742929267747	false	nonsense_mediated_decay+protein_coding+retained_intron+processed_transcript	-	No
rs11168936;rs11168962	2	chr12:49582519-49676768	ENSG00000167553	TUBA1C	0.012209433581011852	true	processed_transcript+protein_coding+nonsense_mediated_decay+retained_intron	-	No
rs8134378;rs914187	4	chr21:38437942-45746674	ENSG00000184012	TMPRSS2	0.01239179549336255	true	protein_coding+retained_intron+processed_transcript	-	No
rs10792031	1	chr11:69061605-69182494	ENSG00000172927	MYEOV	0.012461501326207328	true	protein_coding+processed_transcript+retained_intron	rs10047435	No
rs1010;rs1078004;rs2044474;rs6738645	8	chr2:85766288-85876406	ENSG00000168894	RNF181	0.013760481431562563	false	retained_intron+protein_coding+nonsense_mediated_decay	-	No
rs6096208	3	chr20:49505585-49577820	ENSG00000000419	DPM1	0.013915359193847428	false	protein_coding+processed_transcript	rs6020694	No
rs17122571	8	chr12:48366748-48745197	ENSG00000177981	ASB8	0.018778175435602198	false	protein_coding+processed_transcript+retained_intron+nonsense_mediated_decay	rs7485057;rs7485057	No
rs11568311	12	chr16:66754796-67043661	ENSG00000166595	FAM96B	0.01925776019488837	false	protein_coding	-	No
rs11489585	5	chr7:77166592-77586818	ENSG00000127947	PTPN12	0.020009780404310045	false	protein_coding+retained_intron+nonsense_mediated_decay	rs12537271;rs12537271	No
rs1250105	6	chr4:1160720-1381837	ENSG00000090316	MAEA	0.020230855253242367	false	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs13112706	No
rs1048019;rs12210868;rs1475122;rs1547094;rs2146162;rs2295898;rs3798213;rs3822849;rs4832;rs6899987;rs6925350;rs7770630;rs9347338;rs9355747;rs9355749;rs9364535;rs963800	6	chr6:160100096-160241736	ENSG00000112110	MRPL18	0.020836326020050915	false	processed_transcript+protein_coding	rs9365097;rs9365097	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143437	ARNT	0.023054622614037394	true	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs11204735;rs2055975	No
rs1010;rs1078004;rs2044474;rs6738645	8	chr2:85766288-85876406	ENSG00000168883	USP39	0.023440877313621038	false	processed_transcript+protein_coding+nonsense_mediated_decay+retained_intron	rs11544042	No
rs5995794	1	chr22:40390953-40426043	ENSG00000133477	FAM83F	0.02371098963320141	true	protein_coding+processed_transcript	rs9611280	No
rs2412106	5	chr14:65213002-65569413	ENSG00000176153	GPX2	0.026989046143607247	false	nonsense_mediated_decay+protein_coding	-	No
rs1048169	3	chr9:18927656-19103117	ENSG00000147874	HAUS6	0.027130690483362852	true	protein_coding	-	No
rs3798439	4	chr6:76005626-76629254	ENSG00000252498	-	0.027139405732894972	false	snRNA	-	No
rs2191139;rs8107333;rs8112363	2	chr19:41937224-42093197	ENSG00000105341	ATP5SL	0.02757750722933694	true	protein_coding	-	No
rs1218582;rs1891805	3	chr1:154679902-154928599	ENSG00000163344	PMVK	0.02765920428205551	true	protein_coding	rs705094	No
rs6573971	5	chr14:70792102-71067384	ENSG00000133997	MED6	0.028732996186547094	false	protein_coding+retained_intron+processed_transcript	rs10131177	No
rs12938215	5	chr17:35441923-35969488	ENSG00000108264	TADA2A	0.030699496479577634	true	protein_coding+nonsense_mediated_decay	-	No
rs8069005	6	chr17:28521337-28903499	ENSG00000108578	BLMH	0.03127719631865591	false	protein_coding	rs2321706	No
rs6806253;rs8179974	4	chr3:128198270-128399918	ENSG00000163902	RPN1	0.032159582434425626	false	protein_coding+processed_transcript+nonsense_mediated_decay+retained_intron	rs7624610	No
rs11568311	12	chr16:66754796-67043661	ENSG00000172840	PDP2	0.03230380627281602	false	protein_coding	rs2271025	No
rs10182643;rs10193919;rs2289081	1	chr2:20883803-21022882	ENSG00000118961	C2orf43	0.032770646693017554	true	protein_coding+retained_intron	rs10182643	No
rs1476161	8	chr17:8043809-8173809	ENSG00000178921	PFAS	0.034310001519738516	false	protein_coding	rs9899432	No
rs2412106	5	chr14:65213002-65569413	ENSG00000258289	CHURC1	0.0344604567060076	false	protein_coding+retained_intron	-	No
rs12938215	5	chr17:35441923-35969488	ENSG00000006114	SYNRG	0.03531756124967405	false	protein_coding+retained_intron+processed_transcript	rs12602536;rs12450416	No
rs1160267	1	chr8:23536206-23540440	ENSG00000167034	NKX3-1	0.03562777483927515	true	protein_coding	-	No
rs3746337	6	chr20:25176329-25604811	ENSG00000101003	GINS1	0.03575768096745433	false	protein_coding+processed_transcript	-	No
rs1476161	8	chr17:8043809-8173809	ENSG00000178999	AURKB	0.036764534042956314	false	protein_coding	-	No
rs11568311	12	chr16:66754796-67043661	ENSG00000159593	NAE1	0.04169862861703108	false	protein_coding	rs11862377	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143457	GOLPH3L	0.043370414552062427	true	protein_coding+processed_transcript	-	No
rs1320961	2	chr6:135281516-135540311	ENSG00000112339	HBS1L	0.04581264681347344	false	protein_coding+retained_intron+nonsense_mediated_decay	rs4472368	No
rs11666569	2	chr19:17160573-17324103	ENSG00000131351	HAUS8	0.047310500029247804	false	protein_coding	-	No
rs10280277	1	chr7:47314752-47622156	ENSG00000136205	TNS3	0.04818238499627849	true	protein_coding+processed_transcript+retained_intron	rs12674402;rs17172860	No
rs185397	2	chr16:58741035-59142878	ENSG00000125166	GOT2	0.052496412411274895	true	protein_coding+retained_intron	rs9926182	No
rs6096208	3	chr20:49505585-49577820	ENSG00000124217	MOCS3	0.054780153072719814	true	protein_coding	-	No
rs6702939	9	chr1:77747736-78604133	ENSG00000036549	ZZZ3	0.06181601391974584	false	processed_transcript+protein_coding	rs17385707;rs17385707	No
rs1476161	8	chr17:8043809-8173809	ENSG00000179094	PER1	0.06782060464324424	false	protein_coding	rs7216269	No
rs3829166	14	chr10:74766975-75385711	ENSG00000122882	ECD	0.06916457692051724	false	processed_transcript+protein_coding+nonsense_mediated_decay	-	No
rs9623117	2	chr22:40440821-40731811	ENSG00000100354	TNRC6B	0.07615623973094128	true	protein_coding+retained_intron+processed_transcript	-	No
rs11765552;rs11768309;rs6465658;rs6967926;rs6977321;rs7804318;rs7808528	3	chr7:97736197-97922275	ENSG00000164713	BRI3	0.07989734147480032	false	processed_transcript+protein_coding+retained_intron	-	No
rs12771627;rs12782469;rs4962416	2	chr10:126630692-126849739	ENSG00000175029	CTBP2	0.08166459068864668	true	protein_coding+processed_transcript+retained_intron	rs744451	No
rs4889476	1	chr16:82181767-82203831	ENSG00000135698	MPHOSPH6	0.08683780047179207	true	protein_coding	rs2303266	No
rs3847414	2	chr10:32094365-32345359	ENSG00000165322	ARHGAP12	0.08714948221457813	true	protein_coding+processed_transcript	-	No
rs4713266	1	chr6:11183531-11382581	ENSG00000111859	NEDD9	0.09180887421370093	true	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs7743913;rs17561071;rs10947009;rs4713478	No
rs1048019;rs12210868;rs1475122;rs1547094;rs2146162;rs2295898;rs3798213;rs3822849;rs4832;rs6899987;rs6925350;rs7770630;rs9347338;rs9355747;rs9355749;rs9364535;rs963800	6	chr6:160100096-160241736	ENSG00000146457	WTAP	0.09189209522197744	true	protein_coding+processed_transcript	rs6899987;rs11753885;rs7855	No
rs2045624;rs4245739	4	chr1:204391756-204654861	ENSG00000133056	PIK3C2B	0.09220009819797509	false	protein_coding+processed_transcript	rs12402641	No
rs1048169	3	chr9:18927656-19103117	ENSG00000155876	RRAGA	0.09241805514903367	false	protein_coding	rs2451652	No
rs11568818	1	chr11:102391239-102401484	ENSG00000137673	MMP7	0.0947459237528544	true	protein_coding+retained_intron	-	No
rs1250105	6	chr4:1160720-1381837	ENSG00000163945	KIAA1530	0.095305303868154	false	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	rs1732115	No
rs8069005	6	chr17:28521337-28903499	ENSG00000108587	GOSR1	0.09718354917832905	true	protein_coding+processed_transcript+retained_intron	rs11651322	No
rs10207640;rs12052253;rs12622724;rs13414928;rs1574259;rs16860419;rs16860426;rs16860643	1	chr2:173292082-173371181	ENSG00000091409	ITGA6	0.09730786190002766	true	protein_coding+retained_intron	rs1574246;rs7597418	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143418	CERS2	0.09748506064155832	false	processed_transcript+protein_coding+retained_intron	rs2272214;rs8444	No
rs1341051	4	chr10:112629626-112773425	ENSG00000150593	PDCD4	0.09831438192426861	false	protein_coding+processed_transcript	rs1407696	No
rs7567304	2	chr2:10710892-10831957	ENSG00000115761	NOL10	0.09867690091924403	true	protein_coding+retained_intron	-	No
rs2401138	1	chr1:8412457-8877702	ENSG00000142599	RERE	0.09961306274612353	true	protein_coding+processed_transcript	rs301806;rs301806	No
rs6673687;rs708723	4	chr1:205626979-205782876	ENSG00000117280	RAB7L1	0.10197281790802581	true	protein_coding+nonsense_mediated_decay+processed_transcript+retained_intron	rs823114	No
rs1010442	3	chr17:71188771-71245091	ENSG00000141219	C17orf80	0.1052439239643172	false	protein_coding	rs12453245	No
rs6673687;rs708723	4	chr1:205626979-205782876	ENSG00000158715	SLC45A3	0.10663636292125539	false	processed_transcript+protein_coding	rs1172199	No
rs1534642	3	chr4:74347400-74486348	ENSG00000169435	RASSF6	0.1104724620026083	true	protein_coding+processed_transcript	rs3756073	No
rs6011058	2	chr20:62329996-62370456	ENSG00000101246	ARFRP1	0.11429826290612993	false	processed_transcript+protein_coding	-	No
rs6678087	2	chr1:224102741-226595780	ENSG00000143815	LBR	0.11816979261309202	true	protein_coding+processed_transcript	rs7514094	No
rs912353	3	chr9:127019885-127177723	ENSG00000136930	PSMB7	0.12332460022150993	true	protein_coding+processed_transcript	-	No
rs1010;rs1078004;rs2044474;rs6738645	8	chr2:85766288-85876406	ENSG00000168887	C2orf68	0.12546417572095603	false	protein_coding+nonsense_mediated_decay+processed_transcript	rs2592551	No
rs3829166	14	chr10:74766975-75385711	ENSG00000182180	MRPS16	0.12626946818958523	false	protein_coding+processed_transcript	-	No
rs12976534;rs3786877;rs4803934;rs8102476	6	chr19:38741877-38861589	ENSG00000167645	YIF1B	0.13133894227965165	false	protein_coding	-	No
rs10190310;rs11883500;rs2292884;rs6760963	3	chr2:238394071-238510257	ENSG00000124839	RAB17	0.13266296258711363	false	nonsense_mediated_decay+protein_coding+retained_intron+processed_transcript	-	No
rs2045624;rs4245739	4	chr1:204391756-204654861	ENSG00000198625	MDM4	0.13714746715556353	true	protein_coding+processed_transcript	rs10900595	No
rs17122571	8	chr12:48366748-48745197	ENSG00000167528	ZNF641	0.13860853204052015	false	protein_coding+retained_intron	rs2634667	No
rs1048019;rs12210868;rs1475122;rs1547094;rs2146162;rs2295898;rs3798213;rs3822849;rs4832;rs6899987;rs6925350;rs7770630;rs9347338;rs9355747;rs9355749;rs9364535;rs963800	6	chr6:160100096-160241736	ENSG00000120438	TCP1	0.14125259970994813	true	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	-	No
rs3798439	4	chr6:76005626-76629254	ENSG00000112701	SENP6	0.1414603879466762	false	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs11752842	No
rs3746337	6	chr20:25176329-25604811	ENSG00000101004	NINL	0.14198177944717405	false	protein_coding+processed_transcript	-	No
rs1010442	3	chr17:71188771-71245091	ENSG00000166685	COG1	0.14222585053678216	true	protein_coding	rs9902795	No
rs17774188	1	chr12:4671370-4723325	ENSG00000010219	DYRK4	0.14296529171441702	true	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs2286576	No
rs767127	1	chr14:68286496-69196935	ENSG00000182185	RAD51B	0.14728809236375362	true	nonsense_mediated_decay+protein_coding+processed_transcript+retained_intron	rs727392	No
rs3829166	14	chr10:74766975-75385711	ENSG00000166348	USP54	0.15051396665745215	false	nonsense_mediated_decay+processed_transcript+protein_coding+retained_intron	-	No
rs1534642	3	chr4:74347400-74486348	ENSG00000250436	-	0.1540962814981035	false	lincRNA	-	No
rs3829166	14	chr10:74766975-75385711	ENSG00000138279	ANXA7	0.1620060181655703	false	protein_coding+processed_transcript	rs6896	No
rs3821747	3	chr3:170136653-170626482	ENSG00000163584	RPL22L1	0.16677313374333325	true	protein_coding+retained_intron+nonsense_mediated_decay	-	No
rs6512130	6	chr19:9434873-9650402	ENSG00000198028	ZNF560	0.17175065374795956	false	protein_coding	-	No
rs11568311	12	chr16:66754796-67043661	ENSG00000166589	CDH16	0.17265746111296493	false	protein_coding	-	No
rs6702939	9	chr1:77747736-78604133	ENSG00000235927	NEXN-AS1	0.17538030501022295	false	processed_transcript	-	No
rs3798439	4	chr6:76005626-76629254	ENSG00000196586	MYO6	0.17551589640750026	true	protein_coding+processed_transcript	-	No
rs11263763;rs4430796;rs7223387	1	chr17:36046434-36105237	ENSG00000108753	HNF1B	0.17804843232055323	true	protein_coding+retained_intron	rs7501939;rs1034686	No
rs1800057	5	chr11:107879459-108338258	ENSG00000149311	ATM	0.1800698489613447	true	protein_coding+retained_intron+processed_transcript+nonsense_mediated_decay	-	No
rs1800057	5	chr11:107879459-108338258	ENSG00000075239	ACAT1	0.19015702269838963	false	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	-	No
rs1341051	4	chr10:112629626-112773425	ENSG00000108061	SHOC2	0.19381121197289924	false	protein_coding+processed_transcript	rs1980869	No
rs2742624	1	chr22:45680863-45691755	ENSG00000100373	UPK3A	0.19588201251620602	true	protein_coding	rs2742624	No
rs6678087	2	chr1:224102741-226595780	ENSG00000143799	PARP1	0.20906472125313041	true	protein_coding+processed_transcript	-	No
rs11153140;rs11752532;rs12195378;rs12196143;rs12197912;rs12206423;rs2273669;rs3734651;rs4992382;rs6907937;rs6935782;rs9688496	3	chr6:109169619-109485135	ENSG00000183137	CEP57L1	0.2141852101036239	false	protein_coding+processed_transcript+nonsense_mediated_decay+retained_intron	-	No
rs12569526;rs12570611;rs2025713;rs3740414;rs7341995	6	chr10:104221149-104498951	ENSG00000138175	ARL3	0.21451536009186734	false	protein_coding	rs11191365	No
rs1476161	8	chr17:8043809-8173809	ENSG00000178971	CTC1	0.21588742343237582	false	protein_coding	-	No
rs11153140;rs11752532;rs12195378;rs12196143;rs12197912;rs12206423;rs2273669;rs3734651;rs4992382;rs6907937;rs6935782;rs9688496	3	chr6:109169619-109485135	ENSG00000118690	ARMC2	0.23120598877096254	true	protein_coding+processed_transcript	rs2806367;rs11962095	No
rs1010;rs1078004;rs2044474;rs6738645	8	chr2:85766288-85876406	ENSG00000168906	MAT2A	0.23400495005972416	true	protein_coding+retained_intron+processed_transcript	-	No
rs1045270	2	chr8:124332090-124479470	ENSG00000156802	ATAD2	0.2424037005643201	false	nonsense_mediated_decay+protein_coding+retained_intron+processed_transcript	-	No
rs2045624;rs4245739	4	chr1:204391756-204654861	ENSG00000240710	-	0.2525405724635835	true	antisense	-	No
rs12938215	5	chr17:35441923-35969488	ENSG00000167230	C17orf78	0.2534259034052465	false	protein_coding	-	No
rs1250105	6	chr4:1160720-1381837	ENSG00000159674	SPON2	0.25477180602992194	true	protein_coding+retained_intron+processed_transcript	rs7684536	No
rs8093601	1	chr18:51677971-51751158	ENSG00000134046	MBD2	0.25584098978259767	true	protein_coding	rs12970263;rs1787824	No
rs12639887;rs2452597;rs2452600	1	chr4:95373037-95589377	ENSG00000163110	PDLIM5	0.25654431854316173	true	protein_coding+processed_transcript+retained_intron+nonsense_mediated_decay	-	No
rs1010442	3	chr17:71188771-71245091	ENSG00000133193	FAM104A	0.26029312500285967	false	protein_coding	rs7221701	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143420	ENSA	0.26692846066877046	true	protein_coding+nonsense_mediated_decay+processed_transcript	-	No
rs6702939	9	chr1:77747736-78604133	ENSG00000137960	GIPC2	0.27145873968881173	true	processed_transcript+protein_coding	-	No
rs6573971	5	chr14:70792102-71067384	ENSG00000213463	SYNJ2BP	0.2719648705386564	false	protein_coding+processed_transcript	-	No
rs12569526;rs12570611;rs2025713;rs3740414;rs7341995	6	chr10:104221149-104498951	ENSG00000107882	SUFU	0.27210499769203467	false	protein_coding+processed_transcript	-	No
rs868868	4	chr1:151735445-151804348	ENSG00000182134	TDRKH	0.27248115832008557	true	nonsense_mediated_decay+protein_coding+processed_transcript+retained_intron	rs6684101	No
rs2474694;rs461251	1	chr17:411908-618096	ENSG00000141252	VPS53	0.2742136492350182	true	protein_coding	rs9748016	No
rs11153140;rs11752532;rs12195378;rs12196143;rs12197912;rs12206423;rs2273669;rs3734651;rs4992382;rs6907937;rs6935782;rs9688496	3	chr6:109169619-109485135	ENSG00000080546	SESN1	0.27720506637566444	true	protein_coding+retained_intron+processed_transcript	rs12197912	No
rs1983891;rs3747744;rs6917029	2	chr6:41462591-41570122	ENSG00000234753	-	0.27754815055561044	true	antisense	-	No
rs912353	3	chr9:127019885-127177723	ENSG00000119408	NEK6	0.2867077174962638	false	protein_coding	rs4838131	No
rs1045270	2	chr8:124332090-124479470	ENSG00000156795	WDYHV1	0.28691510251456803	true	protein_coding+processed_transcript+nonsense_mediated_decay	-	No
rs1800057	5	chr11:107879459-108338258	ENSG00000149308	NPAT	0.2886320317714225	false	protein_coding+retained_intron+processed_transcript+nonsense_mediated_decay	rs623860	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143384	MCL1	0.2913553069049804	true	protein_coding+processed_transcript	rs4970966;rs4970966	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143452	HORMAD1	0.29421481858746323	true	protein_coding+processed_transcript	-	No
rs2454107	4	chr5:148651434-148783765	ENSG00000164284	GRPEL2	0.30875309560880226	false	protein_coding+processed_transcript	rs2963493	No
rs1476161	8	chr17:8043809-8173809	ENSG00000179029	TMEM107	0.31375177400940835	false	protein_coding+retained_intron	rs6503090	No
rs6806253;rs8179974	4	chr3:128198270-128399918	ENSG00000179348	GATA2	0.3160534674988649	false	protein_coding+processed_transcript	rs4328821	No
rs11489585	5	chr7:77166592-77586818	ENSG00000187257	RSBN1L	0.31941348871191033	false	protein_coding+retained_intron	rs848464	No
rs10086908	1	chr8:127564687-127570638	ENSG00000168672	FAM84B	0.3244435972586021	true	protein_coding+processed_transcript	rs12546489	No
rs10993994	1	chr10:51549498-51562517	ENSG00000138294	MSMB	0.3336179178673921	true	protein_coding+processed_transcript	-	No
rs10069690;rs2736100	1	chr5:1253262-1295184	ENSG00000164362	TERT	0.34916126427264044	true	retained_intron+protein_coding+nonsense_mediated_decay+processed_transcript	rs2242652;rs6894574	No
rs12569526;rs12570611;rs2025713;rs3740414;rs7341995	6	chr10:104221149-104498951	ENSG00000171206	TRIM8	0.35727172441833266	true	protein_coding+processed_transcript	rs11594073	No
rs3755718	2	chr3:69068978-69129559	ENSG00000144747	TMF1	0.3628587373557296	false	protein_coding+nonsense_mediated_decay+processed_transcript+retained_intron	rs7631719	No
rs6806253;rs8179974	4	chr3:128198270-128399918	ENSG00000244300	-	0.3820051752436119	false	processed_transcript	-	No
rs383369	1	chr19:54777675-54785039	ENSG00000131042	LILRB2	0.3845560228776892	true	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	rs11672654	No
rs2454107	4	chr5:148651434-148783765	ENSG00000157510	AFAP1L1	0.39158307007085924	false	retained_intron+protein_coding+processed_transcript	rs13436354	No
rs3825393	5	chr12:109826524-110035067	ENSG00000174527	MYO1H	0.3920331887287672	true	protein_coding+processed_transcript+retained_intron	-	No
rs6730757	1	chr2:43393800-43823185	ENSG00000115970	THADA	0.3930840822655529	true	protein_coding+nonsense_mediated_decay+processed_transcript+retained_intron	-	No
rs3829166	14	chr10:74766975-75385711	ENSG00000166343	ZMYND17	0.39700800809775116	false	nonsense_mediated_decay+protein_coding	-	No
rs3821747	3	chr3:170136653-170626482	ENSG00000163577	EIF5A2	0.3991842528755368	false	protein_coding+processed_transcript	rs6792607	No
