Locus	Nr of genes in locus	Chromosome and position	Ensembl Gene ID	Gene symbol	Nominal P value	Gene closest to lead SNP	Gene bio-type	Top cis eQTL SNP (Westra et al. Nature Genetics 2014)	False discovery rate < 5%
rs1476161	8	chr17:8043809-8173809	ENSG00000179094	PER1	0.06457302747170342	false	protein_coding	rs7216269	No
rs185397	2	chr16:58741035-59142878	ENSG00000125166	GOT2	0.07135052454031991	true	protein_coding+retained_intron	rs9926182	No
rs3829166	14	chr10:74766975-75385711	ENSG00000122882	ECD	0.07413681109685545	false	processed_transcript+protein_coding+nonsense_mediated_decay	-	No
rs1048019;rs12210868;rs1475122;rs1547094;rs2146162;rs2295898;rs3798213;rs3822849;rs4832;rs6899987;rs6925350;rs7770630;rs9347338;rs9355747;rs9355749;rs9364535;rs963800	6	chr6:160100096-160241736	ENSG00000146457	WTAP	0.07577140014405123	true	protein_coding+processed_transcript	rs6899987;rs11753885;rs7855	No
rs12771627;rs12782469;rs4962416	2	chr10:126630692-126849739	ENSG00000175029	CTBP2	0.07636090383078888	true	protein_coding+processed_transcript+retained_intron	rs744451	No
rs4889476	1	chr16:82181767-82203831	ENSG00000135698	MPHOSPH6	0.07810435637921799	true	protein_coding	rs2303266	No
rs6673687;rs708723	4	chr1:205626979-205782876	ENSG00000117280	RAB7L1	0.07845523186629083	true	protein_coding+nonsense_mediated_decay+processed_transcript+retained_intron	rs823114	No
rs9623117	2	chr22:40440821-40731811	ENSG00000100354	TNRC6B	0.08061078395228971	true	protein_coding+retained_intron+processed_transcript	-	No
rs11568818	1	chr11:102391239-102401484	ENSG00000137673	MMP7	0.08494224176325244	true	protein_coding+retained_intron	-	No
rs4713266	1	chr6:11183531-11382581	ENSG00000111859	NEDD9	0.08696447367003618	true	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs7743913;rs17561071;rs10947009;rs4713478	No
rs11765552;rs11768309;rs6465658;rs6967926;rs6977321;rs7804318;rs7808528	3	chr7:97736197-97922275	ENSG00000164713	BRI3	0.08748470140267528	false	processed_transcript+protein_coding+retained_intron	-	No
rs1341051	4	chr10:112629626-112773425	ENSG00000150593	PDCD4	0.0893996326911391	false	protein_coding+processed_transcript	rs1407696	No
rs7567304	2	chr2:10710892-10831957	ENSG00000115761	NOL10	0.09372504902467138	true	protein_coding+retained_intron	-	No
rs6673687;rs708723	4	chr1:205626979-205782876	ENSG00000158715	SLC45A3	0.0952802702519781	false	processed_transcript+protein_coding	rs1172199	No
rs3847414	2	chr10:32094365-32345359	ENSG00000165322	ARHGAP12	0.0956532068759639	true	protein_coding+processed_transcript	-	No
rs1048169	3	chr9:18927656-19103117	ENSG00000155876	RRAGA	0.09621774071309269	false	protein_coding	rs2451652	No
rs8069005	6	chr17:28521337-28903499	ENSG00000108587	GOSR1	0.09667981949527299	true	protein_coding+processed_transcript+retained_intron	rs11651322	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143418	CERS2	0.09912317113266056	false	processed_transcript+protein_coding+retained_intron	rs2272214;rs8444	No
rs1010442	3	chr17:71188771-71245091	ENSG00000141219	C17orf80	0.09988113476072669	false	protein_coding	rs12453245	No
rs10207640;rs12052253;rs12622724;rs13414928;rs1574259;rs16860419;rs16860426;rs16860643	1	chr2:173292082-173371181	ENSG00000091409	ITGA6	0.10548603539429868	true	protein_coding+retained_intron	rs1574246;rs7597418	No
rs2045624;rs4245739	4	chr1:204391756-204654861	ENSG00000133056	PIK3C2B	0.10615791038971445	false	protein_coding+processed_transcript	rs12402641	No
rs1010;rs1078004;rs2044474;rs6738645	8	chr2:85766288-85876406	ENSG00000168887	C2orf68	0.11171500353024183	false	protein_coding+nonsense_mediated_decay+processed_transcript	rs2592551	No
rs1534642	3	chr4:74347400-74486348	ENSG00000169435	RASSF6	0.11466305176303193	true	protein_coding+processed_transcript	rs3756073	No
rs2045624;rs4245739	4	chr1:204391756-204654861	ENSG00000198625	MDM4	0.1156729399159861	true	protein_coding+processed_transcript	rs10900595	No
rs2401138	1	chr1:8412457-8877702	ENSG00000142599	RERE	0.1167029522915421	true	protein_coding+processed_transcript	rs301806;rs301806	No
rs6011058	2	chr20:62329996-62370456	ENSG00000101246	ARFRP1	0.11785911623538342	false	processed_transcript+protein_coding	-	No
rs6678087	2	chr1:224102741-226595780	ENSG00000143815	LBR	0.11949209066330513	true	protein_coding+processed_transcript	rs7514094	No
rs1250105	6	chr4:1160720-1381837	ENSG00000163945	KIAA1530	0.11963133839319745	false	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	rs1732115	No
rs3829166	14	chr10:74766975-75385711	ENSG00000182180	MRPS16	0.12063492922047797	false	protein_coding+processed_transcript	-	No
rs17774188	1	chr12:4671370-4723325	ENSG00000010219	DYRK4	0.12092056234530713	true	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs2286576	No
rs12976534;rs3786877;rs4803934;rs8102476	6	chr19:38741877-38861589	ENSG00000167645	YIF1B	0.121712953102526	false	protein_coding	-	No
rs1010442	3	chr17:71188771-71245091	ENSG00000166685	COG1	0.13305169693538482	true	protein_coding	rs9902795	No
rs10190310;rs11883500;rs2292884;rs6760963	3	chr2:238394071-238510257	ENSG00000124839	RAB17	0.1335079212681195	false	nonsense_mediated_decay+protein_coding+retained_intron+processed_transcript	-	No
rs767127	1	chr14:68286496-69196935	ENSG00000182185	RAD51B	0.1374853364543866	true	nonsense_mediated_decay+protein_coding+processed_transcript+retained_intron	rs727392	No
rs912353	3	chr9:127019885-127177723	ENSG00000136930	PSMB7	0.1393768640030736	true	protein_coding+processed_transcript	-	No
rs3798439	4	chr6:76005626-76629254	ENSG00000112701	SENP6	0.141402539945282	false	protein_coding+nonsense_mediated_decay+retained_intron+processed_transcript	rs11752842	No
rs1534642	3	chr4:74347400-74486348	ENSG00000250436	-	0.14211922769832414	false	lincRNA	-	No
rs3829166	14	chr10:74766975-75385711	ENSG00000166348	USP54	0.14915580027128467	false	nonsense_mediated_decay+processed_transcript+protein_coding+retained_intron	-	No
rs3746337	6	chr20:25176329-25604811	ENSG00000101004	NINL	0.15213566163603204	false	protein_coding+processed_transcript	-	No
rs6702939	9	chr1:77747736-78604133	ENSG00000235927	NEXN-AS1	0.15223726357284134	false	processed_transcript	-	No
rs1800057	5	chr11:107879459-108338258	ENSG00000149311	ATM	0.15280926012211354	true	protein_coding+retained_intron+processed_transcript+nonsense_mediated_decay	-	No
rs3821747	3	chr3:170136653-170626482	ENSG00000163584	RPL22L1	0.1543649575061179	true	protein_coding+retained_intron+nonsense_mediated_decay	-	No
rs1048019;rs12210868;rs1475122;rs1547094;rs2146162;rs2295898;rs3798213;rs3822849;rs4832;rs6899987;rs6925350;rs7770630;rs9347338;rs9355747;rs9355749;rs9364535;rs963800	6	chr6:160100096-160241736	ENSG00000120438	TCP1	0.15509654560871433	true	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	-	No
rs6512130	6	chr19:9434873-9650402	ENSG00000198028	ZNF560	0.16041781503469293	false	protein_coding	-	No
rs17122571	8	chr12:48366748-48745197	ENSG00000167528	ZNF641	0.16359606416995448	false	protein_coding+retained_intron	rs2634667	No
rs2742624	1	chr22:45680863-45691755	ENSG00000100373	UPK3A	0.16649333083123236	true	protein_coding	rs2742624	No
rs3829166	14	chr10:74766975-75385711	ENSG00000138279	ANXA7	0.17576503460088488	false	protein_coding+processed_transcript	rs6896	No
rs11263763;rs4430796;rs7223387	1	chr17:36046434-36105237	ENSG00000108753	HNF1B	0.17622670296910553	true	protein_coding+retained_intron	rs7501939;rs1034686	No
rs3798439	4	chr6:76005626-76629254	ENSG00000196586	MYO6	0.18755726010136126	true	protein_coding+processed_transcript	-	No
rs11568311	12	chr16:66754796-67043661	ENSG00000166589	CDH16	0.1905474269039782	false	protein_coding	-	No
rs1476161	8	chr17:8043809-8173809	ENSG00000178971	CTC1	0.195491724864783	false	protein_coding	-	No
rs1800057	5	chr11:107879459-108338258	ENSG00000075239	ACAT1	0.2016951904509275	false	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	-	No
rs1045270	2	chr8:124332090-124479470	ENSG00000156802	ATAD2	0.20407869823000385	false	nonsense_mediated_decay+protein_coding+retained_intron+processed_transcript	-	No
rs1341051	4	chr10:112629626-112773425	ENSG00000108061	SHOC2	0.20538399063445134	false	protein_coding+processed_transcript	rs1980869	No
rs6678087	2	chr1:224102741-226595780	ENSG00000143799	PARP1	0.20859014928370528	true	protein_coding+processed_transcript	-	No
rs11153140;rs11752532;rs12195378;rs12196143;rs12197912;rs12206423;rs2273669;rs3734651;rs4992382;rs6907937;rs6935782;rs9688496	3	chr6:109169619-109485135	ENSG00000183137	CEP57L1	0.20917896879292985	false	protein_coding+processed_transcript+nonsense_mediated_decay+retained_intron	-	No
rs2045624;rs4245739	4	chr1:204391756-204654861	ENSG00000240710	-	0.21416403838961406	true	antisense	-	No
rs1010;rs1078004;rs2044474;rs6738645	8	chr2:85766288-85876406	ENSG00000168906	MAT2A	0.21761534726766013	true	protein_coding+retained_intron+processed_transcript	-	No
rs868868	4	chr1:151735445-151804348	ENSG00000182134	TDRKH	0.22921137384145335	true	nonsense_mediated_decay+protein_coding+processed_transcript+retained_intron	rs6684101	No
rs12569526;rs12570611;rs2025713;rs3740414;rs7341995	6	chr10:104221149-104498951	ENSG00000138175	ARL3	0.23030347033512455	false	protein_coding	rs11191365	No
rs1045270	2	chr8:124332090-124479470	ENSG00000156795	WDYHV1	0.23101207892506542	true	protein_coding+processed_transcript+nonsense_mediated_decay	-	No
rs11153140;rs11752532;rs12195378;rs12196143;rs12197912;rs12206423;rs2273669;rs3734651;rs4992382;rs6907937;rs6935782;rs9688496	3	chr6:109169619-109485135	ENSG00000118690	ARMC2	0.23293943995830618	true	protein_coding+processed_transcript	rs2806367;rs11962095	No
rs1983891;rs3747744;rs6917029	2	chr6:41462591-41570122	ENSG00000234753	-	0.23384564849922035	true	antisense	-	No
rs1010442	3	chr17:71188771-71245091	ENSG00000133193	FAM104A	0.2407400959486911	false	protein_coding	rs7221701	No
rs12639887;rs2452597;rs2452600	1	chr4:95373037-95589377	ENSG00000163110	PDLIM5	0.24798903369607567	true	protein_coding+processed_transcript+retained_intron+nonsense_mediated_decay	-	No
rs12938215	5	chr17:35441923-35969488	ENSG00000167230	C17orf78	0.2583805381176015	false	protein_coding	-	No
rs1800057	5	chr11:107879459-108338258	ENSG00000149308	NPAT	0.25984278377396874	false	protein_coding+retained_intron+processed_transcript+nonsense_mediated_decay	rs623860	No
rs1250105	6	chr4:1160720-1381837	ENSG00000159674	SPON2	0.26590243242619915	true	protein_coding+retained_intron+processed_transcript	rs7684536	No
rs6573971	5	chr14:70792102-71067384	ENSG00000213463	SYNJ2BP	0.27350914688384265	false	protein_coding+processed_transcript	-	No
rs2474694;rs461251	1	chr17:411908-618096	ENSG00000141252	VPS53	0.2753142113156996	true	protein_coding	rs9748016	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143384	MCL1	0.2757573235243995	true	protein_coding+processed_transcript	rs4970966;rs4970966	No
rs8093601	1	chr18:51677971-51751158	ENSG00000134046	MBD2	0.27930145986505395	true	protein_coding	rs12970263;rs1787824	No
rs11153140;rs11752532;rs12195378;rs12196143;rs12197912;rs12206423;rs2273669;rs3734651;rs4992382;rs6907937;rs6935782;rs9688496	3	chr6:109169619-109485135	ENSG00000080546	SESN1	0.2807769855377801	true	protein_coding+retained_intron+processed_transcript	rs12197912	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143420	ENSA	0.2822022799412513	true	protein_coding+nonsense_mediated_decay+processed_transcript	-	No
rs12569526;rs12570611;rs2025713;rs3740414;rs7341995	6	chr10:104221149-104498951	ENSG00000107882	SUFU	0.2822338558262888	false	protein_coding+processed_transcript	-	No
rs912353	3	chr9:127019885-127177723	ENSG00000119408	NEK6	0.2828216657198993	false	protein_coding	rs4838131	No
rs6806253;rs8179974	4	chr3:128198270-128399918	ENSG00000179348	GATA2	0.28397284383450483	false	protein_coding+processed_transcript	rs4328821	No
rs1476161	8	chr17:8043809-8173809	ENSG00000179029	TMEM107	0.28779514940740236	false	protein_coding+retained_intron	rs6503090	No
rs10305695;rs1053701;rs11204674;rs11204727;rs11576175;rs12031458;rs12034302;rs12038403;rs12045807;rs16840074;rs2134688;rs3754207;rs6587515;rs7517566	11	chr1:150547032-150968110	ENSG00000143452	HORMAD1	0.3039911500413145	true	protein_coding+processed_transcript	-	No
rs6702939	9	chr1:77747736-78604133	ENSG00000137960	GIPC2	0.3121616263153901	true	processed_transcript+protein_coding	-	No
rs11489585	5	chr7:77166592-77586818	ENSG00000187257	RSBN1L	0.31593398896082037	false	protein_coding+retained_intron	rs848464	No
rs10086908	1	chr8:127564687-127570638	ENSG00000168672	FAM84B	0.32148653038798863	true	protein_coding+processed_transcript	rs12546489	No
rs10069690;rs2736100	1	chr5:1253262-1295184	ENSG00000164362	TERT	0.324875723874029	true	retained_intron+protein_coding+nonsense_mediated_decay+processed_transcript	rs2242652;rs6894574	No
rs3755718	2	chr3:69068978-69129559	ENSG00000144747	TMF1	0.32936470784153116	false	protein_coding+nonsense_mediated_decay+processed_transcript+retained_intron	rs7631719	No
rs10993994	1	chr10:51549498-51562517	ENSG00000138294	MSMB	0.3319286599383712	true	protein_coding+processed_transcript	-	No
rs2454107	4	chr5:148651434-148783765	ENSG00000164284	GRPEL2	0.3416239073293576	false	protein_coding+processed_transcript	rs2963493	No
rs383369	1	chr19:54777675-54785039	ENSG00000131042	LILRB2	0.3512814124983153	true	protein_coding+retained_intron+nonsense_mediated_decay+processed_transcript	rs11672654	No
rs12569526;rs12570611;rs2025713;rs3740414;rs7341995	6	chr10:104221149-104498951	ENSG00000171206	TRIM8	0.36055119592901863	true	protein_coding+processed_transcript	rs11594073	No
rs3821747	3	chr3:170136653-170626482	ENSG00000163577	EIF5A2	0.3685294135152304	false	protein_coding+processed_transcript	rs6792607	No
rs6730757	1	chr2:43393800-43823185	ENSG00000115970	THADA	0.37102707593016765	true	protein_coding+nonsense_mediated_decay+processed_transcript+retained_intron	-	No
rs6057110	1	chr20:10015689-10037410	ENSG00000132623	ANKRD5	0.3813063162703236	true	protein_coding+processed_transcript	rs883382	No
rs6806253;rs8179974	4	chr3:128198270-128399918	ENSG00000244300	-	0.3831583948894076	false	processed_transcript	-	No
rs3829166	14	chr10:74766975-75385711	ENSG00000122884	P4HA1	0.39032340496913553	false	protein_coding+processed_transcript	-	No
rs2191139;rs8107333;rs8112363	2	chr19:41937224-42093197	ENSG00000007129	CEACAM21	0.3919988956921487	false	retained_intron+processed_transcript+protein_coding+nonsense_mediated_decay	rs3745936	No
