geneid;symbol;diseaseid;disease_name;score;association_type;original_source;sentence;pmid;pmid_year
23411;SIRT1;C0376358;Malignant neoplasm of prostate;0,39;Biomarker;CTD_human;"We recently demonstrated that <span class=""gene"" id=""21062352-1-30-35"">Sirt1</span>, a NAD(+) -dependent histone deacetylase, was overexpressed in <span class=""disease"" id=""21062352-1-99-114"">prostate cancer</span> (<span class=""disease"" id=""21062352-1-116-119"">PCa</span>) and its inhibition resulted in a significant antiproliferative response in human <span class=""disease"" id=""21062352-1-202-205"">PCa</span> cells.";21062352;2011
8644;AKR1C3;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"For <span class=""disease"" id=""18306354-11-4-19"">prostate cancer</span>, the best two-gene interaction included genotypes SRD5A2 V89L GG and <span class=""gene"" id=""18306354-11-89-95"">AKR1C3</span> Q5H CC with OR 1.30, 95% CI 1.01-1.66.";18306354;2008
8000;PSCA;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"Our data demonstrate that CAA for <span class=""disease"" id=""16015594-12-34-49"">prostate cancer</span> can suppress <span class=""gene"" id=""16015594-12-63-67"">PSCA</span> mRNA expression with a tumor grade dependence and the increased expression of <span class=""gene"" id=""16015594-12-146-150"">PSCA</span> mRNA after CAA may be a clinically adverse predictor for tumor recurrences or distant metastases.";16015594;2006
148327;CREB3L4;C0376358;Malignant neoplasm of prostate;0,32;Biomarker;CTD_human;DNA methylome changes by estradiol benzoate and bisphenol A links early-life environmental exposures to prostate cancer risk.;27415467;2017
1775;DNASE1L2;C0376358;Malignant neoplasm of prostate;0,3;Biomarker;CTD_human;Identification of genes potentially involved in the acquisition of androgen-independent and metastatic tumor growth in an autochthonous genetically engineered mouse prostate cancer model.;17013881;2007
7432;VIP;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"<span class=""gene"" id=""19189304-0-0-29"">Vasoactive intestinal peptide</span> behaves as a pro-metastatic factor in human <span class=""disease"" id=""19189304-0-74-89"">prostate cancer</span> cells.";19189304;2009
4193;MDM2;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"Association between polymorphisms of TP53 and <span class=""gene"" id=""20875869-0-46-50"">MDM2</span> and <span class=""disease"" id=""20875869-0-55-70"">prostate cancer</span> risk in southern Chinese.";20875869;2010
6820;SULT2B1;C0376358;Malignant neoplasm of prostate;0,32;Biomarker;CTD_human;Xenobiotic-metabolizing gene variants, pesticide use, and the risk of prostate cancer.;21716162;2012
367;AR;C0376358;Malignant neoplasm of prostate;0,7;GeneticVariation;UNIPROT;A mutation in the ligand binding domain of the androgen receptor of human LNCaP cells affects steroid binding characteristics and response to anti-androgens.;2260966;1991
8829;NRP1;C0376358;Malignant neoplasm of prostate;0,38;Biomarker;CTD_human;Identification of genes potentially involved in the acquisition of androgen-independent and metastatic tumor growth in an autochthonous genetically engineered mouse prostate cancer model.;17013881;2007
2264;FGFR4;C0376358;Malignant neoplasm of prostate;0,6;GeneticVariation;UNIPROT;"In patients bearing the <span class=""gene"" id=""18670643-4-24-30"">FGFR-4</span> Gly(388) variant, expression of Huntingtin-interacting protein 1 (HIP1), which occurs in more than half of human <span class=""disease"" id=""18670643-4-144-160"">prostate cancers</span>, also results in <span class=""gene"" id=""18670643-4-178-184"">FGFR-4</span> stabilization.";18670643;2008
6528;SLC5A5;C0376358;Malignant neoplasm of prostate;0,4;Therapeutic;CTD_human;"Androgen-dependent <span class=""disease"" id=""14633711-5-19-34"">prostate cancer</span> cell lines (LNCaP) and non-prostate origin tumor cell lines (SNU449, MCF-7, HCT116, OVCAR-3, and Panc-1) were infected with the viral constructs, and perchlorate-sensitive (125)I uptake and <span class=""gene"" id=""14633711-5-225-228"">NIS</span> protein expression were measured.";14633711;2004
81567;TXNDC5;C0376358;Malignant neoplasm of prostate;0,31;Biomarker;CTD_human;"Focusing on apoptosis, proliferation, hormone and angiogenesis, we found a group of genes such as <span class=""gene"" id=""17199135-3-98-129"">thioredoxin domain containing 5</span> , tumor necrosis factor receptor superfamily, member 10a , ribosomal protein S19 and Janus kinase 2 upregulated in AI <span class=""disease"" id=""17199135-3-248-263"">prostate cancer</span>, could play important roles in the transition from AD to AI and could be biomarkers of prognosis.";17199135;2007
8086;AAAS;C0376358;Malignant neoplasm of prostate;0,3;Biomarker;CTD_human;The bromodomain protein BRD4 regulates the KEAP1/NRF2-dependent oxidative stress response.;24763052;2015
7113;TMPRSS2;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;TMPRSS2-ERG fusion co-opts master transcription factors and activates NOTCH signaling in primary prostate cancer.;28783165;2017
9687;GREB1;C0376358;Malignant neoplasm of prostate;0,32;Biomarker;CTD_human;GREB1 is a novel androgen-regulated gene required for prostate cancer growth.;16496412;2006
2064;ERBB2;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"Serum <span class=""gene"" id=""16984552-4-6-10"">HER2</span> levels were assessed in the <span class=""disease"" id=""16984552-4-39-54"">prostate cancer</span> patients prior to treatment as well as in a control group of 100 patients with histologically confirmed non-cancer.";16984552;2007
3569;IL6;C0376358;Malignant neoplasm of prostate;0,4;Therapeutic;CTD_human;"Niclosamide has the potential to target the <span class=""gene"" id=""25970160-13-44-47"">IL6</span>-Stat3-AR pathway to overcome enzalutamide resistance and inhibit migration and invasion in advanced <span class=""disease"" id=""25970160-13-148-163"">prostate cancer</span>.";25970160;2015
3557;IL1RN;C0376358;Malignant neoplasm of prostate;0,31;Biomarker;CTD_human;The interaction of four genes in the inflammation pathway significantly predicts prostate cancer risk.;16284379;2006
55256;ADI1;C0376358;Malignant neoplasm of prostate;0,31;Biomarker;CTD_human;"We found that the gene, aci-reductone dioxygenase 1 (<span class=""gene"" id=""17786183-2-53-57"">ADI1</span>), was downregulated in <span class=""disease"" id=""17786183-2-81-96"">prostate cancer</span> cells, whereas enforced expression of rat <span class=""gene"" id=""17786183-2-139-143"">Adi1</span> in these cells caused apoptosis.";17786183;2007
8932;MBD2;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;Identification of genes potentially involved in the acquisition of androgen-independent and metastatic tumor growth in an autochthonous genetically engineered mouse prostate cancer model.;17013881;2007
3569;IL6;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"<span class=""gene"" id=""19240160-0-0-13"">Interleukin-6</span> increases <span class=""disease"" id=""19240160-0-24-39"">prostate cancer</span> cells resistance to bicalutamide via TIF2.";19240160;2009
1586;CYP17A1;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"In the present study, we investigated the expression of MLN64 in <span class=""disease"" id=""17592021-3-65-80"">prostate cancer</span>, another hormone-dependent tumor, and compared its expression with that of <span class=""gene"" id=""17592021-3-156-161"">CYP17</span>, the gene encoding for the key enzyme of androgen synthesis.";17592021;2007
5728;PTEN;C0376358;Malignant neoplasm of prostate;0,8;Biomarker;CTD_human;Regulation of phosphatase homologue of tensin protein expression by bone morphogenetic proteins in prostate epithelial cells.;21456062;2011
7157;TP53;C0376358;Malignant neoplasm of prostate;0,5;Biomarker;CTD_human;The long tail of oncogenic drivers in prostate cancer.;29610475;2018
10013;HDAC6;C0376358;Malignant neoplasm of prostate;0,32;Biomarker;CTD_human;"We integrated the RNA-Seq results with DNA-binding sites of BRD4 generated by chromatin immunoprecipitations, correlated these with gene expressions from human <span class=""disease"" id=""24763052-3-160-176"">prostate cancers</span> and identified 21 top BRD4 candidate genes among which the oxidative stress pathway genes KEAP1, SESN3 and <span class=""gene"" id=""24763052-3-284-289"">HDAC6</span> are represented.";24763052;2015
8702;B4GALT4;C0376358;Malignant neoplasm of prostate;0,3;Biomarker;CTD_human;Identification of genes potentially involved in the acquisition of androgen-independent and metastatic tumor growth in an autochthonous genetically engineered mouse prostate cancer model.;17013881;2007
367;AR;C0376358;Malignant neoplasm of prostate;0,7;Therapeutic;CTD_human;"Our results define a new link between two critical proteins in <span class=""disease"" id=""23704919-10-63-78"">prostate cancer</span> - <span class=""gene"" id=""23704919-10-81-83"">AR</span> and c-Myc - and demonstrate the potential of <span class=""gene"" id=""23704919-10-129-131"">AR</span> and c-Myc-directed therapies to improve <span class=""disease"" id=""23704919-10-172-187"">prostate cancer</span> control.";23704919;2013
1789;DNMT3B;C0376358;Malignant neoplasm of prostate;0,36;Biomarker;CTD_human;"A trend toward an increase in MI was detected for the <span class=""gene"" id=""16012746-10-54-60"">DNMT3b</span> polymorphisms in <span class=""disease"" id=""16012746-10-78-93"">prostate cancer</span> patients but not for BPH subjects (mean MI 2.6, 2.9, 3.1 for CC, CT, and TT genotype in <span class=""disease"" id=""16012746-10-182-197"">prostate cancer</span>; 0.8, 0.8, 0.7 for CC, CT, and TT genotype in BPH subjects).";16012746;2005
6528;SLC5A5;C0376358;Malignant neoplasm of prostate;0,4;Therapeutic;CTD_human;"<span class=""disease"" id=""14633711-1-0-15"">Prostate cancer</span> is one of the most promising candidates for <span class=""gene"" id=""14633711-1-60-83"">sodium iodide symporter</span> (<span class=""gene"" id=""14633711-1-85-88"">NIS</span>)-mediated gene therapy.";14633711;2004
8000;PSCA;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"Prior data in <span class=""disease"" id=""16015594-2-14-30"">prostate cancers</span> indicated that <span class=""gene"" id=""16015594-2-46-50"">PSCA</span> is directly regulated by androgens and <span class=""gene"" id=""16015594-2-90-94"">PSCA</span> expression increases with high-tumor grade, advanced stage, extracapsular invasion, and androgen-independent progression.";16015594;2006
222546;RFX6;C0376358;Malignant neoplasm of prostate;0,34;Biomarker;CTD_human;"Suppression of <span class=""gene"" id=""24390282-5-15-19"">RFX6</span> diminishes <span class=""disease"" id=""24390282-5-31-46"">prostate cancer</span> cell proliferation, migration and invasion.";24390282;2014
7153;TOP2A;C0376358;Malignant neoplasm of prostate;0,33;Biomarker;CTD_human;"Eighteen (31%) advanced <span class=""disease"" id=""17363613-8-24-40"">prostate cancers</span> showed topoIIalpha overexpression; 12 (26%) showed <span class=""gene"" id=""17363613-8-92-97"">TOP2A</span> low-level amplification; 9 (16%) expressed HER2; and 6 (13%) showed HER2 low-level amplification.";17363613;2007
2064;ERBB2;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"Increased <span class=""gene"" id=""11222871-0-10-16"">ErbB-2</span> tyrosine kinase activity, MAPK phosphorylation, and cell proliferation in the <span class=""disease"" id=""11222871-0-95-110"">prostate cancer</span> cell line LNCaP following treatment by select pesticides.";11222871;2001
2944;GSTM1;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"We found inverse associations between PhIP, MeIQx, or DiMeIQx intake and <span class=""disease"" id=""22564066-7-73-76"">PCa</span> risk when having &lt;2 deletions of the GSTT1 and <span class=""gene"" id=""22564066-7-124-129"">GSTM1</span> genes (<span class=""gene"" id=""22564066-7-137-150"">P(interaction</span>): 0.03, 0.01, and 0.03, respectively), which is supported by analysis of darkly browned meat consumption data.";22564066;2012
5728;PTEN;C0376358;Malignant neoplasm of prostate;0,8;Biomarker;CTD_human;Resveratrol regulates the PTEN/AKT pathway through androgen receptor-dependent and -independent mechanisms in prostate cancer cell lines.;20729295;2011
56616;DIABLO;C0376358;Malignant neoplasm of prostate;0,31;Therapeutic;CTD_human;Sensitization of TRAIL-resistant LNCaP cells by resveratrol (3, 4', 5 tri-hydroxystilbene): molecular mechanisms and therapeutic potential.;17718901;2011
4193;MDM2;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"Alterations in the TP53 and <span class=""gene"" id=""20875869-1-28-32"">MDM2</span> genes appear to be important in the development of many human tumors, but evidence is conflicting on associations between polymorphisms in these genes and risk of <span class=""disease"" id=""20875869-1-196-211"">prostate cancer</span> (<span class=""disease"" id=""20875869-1-213-216"">PCa</span>).";20875869;2010
3586;IL10;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"Animal and in vitro models of <span class=""disease"" id=""17999153-1-30-45"">prostate cancer</span> demonstrate high <span class=""gene"" id=""17999153-1-63-68"">IL-10</span> levels result in smaller tumors, fewer metastases, and reduced angiogenesis compared to controls.";17999153;2008
2952;GSTT1;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;Systematic replication study of reported genetic associations in prostate cancer: Strong support for genetic variation in the androgen pathway.;16998812;2007
4849;CNOT3;C0376358;Malignant neoplasm of prostate;0,3;Biomarker;CTD_human;Sequencing of prostate cancers identifies new cancer genes, routes of progression and drug targets.;29662167;2018
196;AHR;C0376358;Malignant neoplasm of prostate;0,37;Biomarker;CTD_human;"beta-TrCP inhibition reduces <span class=""disease"" id=""20140206-0-29-44"">prostate cancer</span> cell growth via upregulation of the <span class=""gene"" id=""20140206-0-81-106"">aryl hydrocarbon receptor</span>.";20140206;2010
472;ATM;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"The <span class=""gene"" id=""17502119-9-4-7"">ATM</span> missense variant P1054R confers an about twofold increased risk for <span class=""disease"" id=""17502119-9-76-91"">prostate cancer</span> in our series.";17502119;2008
3569;IL6;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"Osteoblasts induce <span class=""disease"" id=""15672864-0-19-34"">prostate cancer</span> proliferation and PSA expression through <span class=""gene"" id=""15672864-0-76-89"">interleukin-6</span>-mediated activation of the androgen receptor.";15672864;2005
1027;CDKN1B;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;The long tail of oncogenic drivers in prostate cancer.;29610475;2018
9985;REC8;C0376358;Malignant neoplasm of prostate;0,3;Biomarker;CTD_human;Identification of genes potentially involved in the acquisition of androgen-independent and metastatic tumor growth in an autochthonous genetically engineered mouse prostate cancer model.;17013881;2007
2878;GPX3;C0376358;Malignant neoplasm of prostate;0,34;Biomarker;CTD_human;"<span class=""gene"" id=""17804715-0-0-24"">Glutathione peroxidase 3</span>, deleted or methylated in <span class=""disease"" id=""17804715-0-51-66"">prostate cancer</span>, suppresses <span class=""disease"" id=""17804715-0-79-94"">prostate cancer</span> growth and metastasis.";17804715;2007
11009;IL24;C0376358;Malignant neoplasm of prostate;0,4;Therapeutic;CTD_human;"The ASC-<span class=""gene"" id=""21671747-9-8-12"">MDA7</span> only reduced tumor growth in the TRAMP-C2-Ras (TC2Ras) <span class=""disease"" id=""21671747-9-68-83"">prostate cancer</span> model.";21671747;2012
7422;VEGFA;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"<span class=""gene"" id=""12893367-0-0-34"">Vascular endothelial growth factor</span> gene-460 C/T polymorphism is a biomarker for <span class=""disease"" id=""12893367-0-80-95"">prostate cancer</span>.";12893367;2003
2650;GCNT1;C0376358;Malignant neoplasm of prostate;0,31;Biomarker;CTD_human;"An A/G polymorphism of <span class=""gene"" id=""15882971-0-23-46"">core 2 branching enzyme</span> gene is associated with <span class=""disease"" id=""15882971-0-71-86"">prostate cancer</span>.";15882971;2005
2078;ERG;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"Here we show that the most common <span class=""disease"" id=""27223260-4-34-37"">PCa</span>-associated truncated <span class=""gene"" id=""27223260-4-59-62"">ERG</span> T1-E4 (<span class=""gene"" id=""27223260-4-70-73"">ERG</span>Δ39), encoded by fusion between TMPRSS2 exon 1 and <span class=""gene"" id=""27223260-4-124-127"">ERG</span> exon 4, binds to bromodomain-1 (BD1) of bromodomain containing protein 4 (BRD4), a member of the bromodomain and extraterminal domain (BET) family.";27223260;2016
2650;GCNT1;C0376358;Malignant neoplasm of prostate;0,31;Biomarker;CTD_human;"These results demonstrate that <span class=""gene"" id=""15882971-7-31-36"">C2GnT</span> A/G polymorphism is associated with the susceptibility to <span class=""disease"" id=""15882971-7-95-110"">prostate cancer</span> in a Japanese population.";15882971;2005
2048;EPHB2;C0376358;Malignant neoplasm of prostate;0,4;GeneticVariation;UNIPROT;"A common nonsense mutation in <span class=""gene"" id=""16155194-0-30-35"">EphB2</span> is associated with <span class=""disease"" id=""16155194-0-55-70"">prostate cancer</span> risk in African American men with a positive family history.";16155194;2006
6528;SLC5A5;C0376358;Malignant neoplasm of prostate;0,4;Therapeutic;CTD_human;"Iodide accumulation in LNCaP cells infected with <span class=""disease"" id=""14633711-7-49-57"">Ad-ARR(2</span>)PB/h<span class=""gene"" id=""14633711-7-62-65"">NIS</span>, followed by incubation with synthetic androgen, was 5.3-fold increased compared with those coincubated with perchlorate (15,184 +/- 1,173 cpm versus 2,837 +/- 187 cpm).";14633711;2004
23036;ZNF292;C0376358;Malignant neoplasm of prostate;0,3;Biomarker;CTD_human;Sequencing of prostate cancers identifies new cancer genes, routes of progression and drug targets.;29662167;2018
861;RUNX1;C0376358;Malignant neoplasm of prostate;0,32;Biomarker;CTD_human;"Prolonged exposure to reduced levels of androgen accelerates prostate cancer progression in Nkx3.1; Pten mutant mice.";17909013;2007
2255;FGF10;C0376358;Malignant neoplasm of prostate;0,3;Biomarker;CTD_human;Seven prostate cancer susceptibility loci identified by a multi-stage genome-wide association study.;21743467;2011
8754;ADAM9;C0376358;Malignant neoplasm of prostate;0,34;Biomarker;CTD_human;"<span class=""gene"" id=""17018608-10-0-5"">ADAM9</span> could be responsible for supporting <span class=""disease"" id=""17018608-10-42-57"">prostate cancer</span> cell survival and progression.";17018608;2007
673;BRAF;C0376358;Malignant neoplasm of prostate;0,34;Biomarker;CTD_human;Integrative molecular profiling of routine clinical prostate cancer specimens.;25735316;2016
10951;CBX1;C0376358;Malignant neoplasm of prostate;0,31;Biomarker;CTD_human;Global analysis of differentially expressed genes in androgen-independent prostate cancer.;17199135;2007
1956;EGFR;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"We previously demonstrated that the inhibition of the <span class=""gene"" id=""17914592-1-54-86"">epidermal growth factor receptor</span> (EGFR) signalling affects the endocrine therapy responses of <span class=""disease"" id=""17914592-1-148-163"">prostate cancer</span> (<span class=""disease"" id=""17914592-1-165-168"">PCa</span>) cells and that bicalutamide (BCLT) is able to reinforce PI3K activity through mechanisms involving PTEN decrement and <span class=""gene"" id=""17914592-1-288-292"">EGFR</span> and Her2 activities.";17914592;2007
23635;SSBP2;C0376358;Malignant neoplasm of prostate;0,31;Biomarker;CTD_human;"Moreover, forced expression of <span class=""gene"" id=""18559593-9-31-36"">SSBP2</span> inhibited <span class=""disease"" id=""18559593-9-47-62"">prostate cancer</span> cell proliferation in the colony formation assay and caused cell cycle arrest.";18559593;2008
2068;ERCC2;C0376358;Malignant neoplasm of prostate;0,38;Biomarker;CTD_human;"Polymorphic variants of <span class=""gene"" id=""17695467-2-24-27"">XPD</span>, at codon 312, 751, and other sites, have been associated with cancer susceptibility, but few studies have investigated their effect on <span class=""disease"" id=""17695467-2-164-179"">prostate cancer</span> risk.";17695467;2007
8720;MBTPS1;C0376358;Malignant neoplasm of prostate;0,32;Biomarker;CTD_human;Identification of genes potentially involved in the acquisition of androgen-independent and metastatic tumor growth in an autochthonous genetically engineered mouse prostate cancer model.;17013881;2007
4193;MDM2;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"These findings suggest that TP53 and <span class=""gene"" id=""20875869-6-37-41"">MDM2</span> polymorphisms play a role in <span class=""disease"" id=""20875869-6-71-74"">PCa</span> susceptibility in southern Chinese Han population.";20875869;2010
7157;TP53;C0376358;Malignant neoplasm of prostate;0,5;Biomarker;CTD_human;"Our results provide biochemical and cellular biologic evidence that NKX3.1 is down-regulated by <span class=""gene"" id=""17202838-7-96-99"">p53</span> over-expression in <span class=""disease"" id=""17202838-7-119-134"">prostate cancer</span> cells.";17202838;2007
3169;FOXA1;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;The long tail of oncogenic drivers in prostate cancer.;29610475;2018
367;AR;C0376358;Malignant neoplasm of prostate;0,7;GeneticVariation;UNIPROT;"A novel <span class=""gene"" id=""19244107-0-8-25"">androgen receptor</span> splice variant is up-regulated during <span class=""disease"" id=""19244107-0-64-79"">prostate cancer</span> progression and promotes androgen depletion-resistant growth.";19244107;2009
367;AR;C0376358;Malignant neoplasm of prostate;0,7;GeneticVariation;UNIPROT;"Two mutations identified in the <span class=""gene"" id=""10569618-0-32-49"">androgen receptor</span> of the new human <span class=""disease"" id=""10569618-0-67-82"">prostate cancer</span> cell line MDA PCa 2a.";10569618;2000
3383;ICAM1;C0376358;Malignant neoplasm of prostate;0,37;Biomarker;CTD_human;Diverse effects of zinc on NF-kappaB and AP-1 transcription factors: implications for prostate cancer progression.;16606632;2006
367;AR;C0376358;Malignant neoplasm of prostate;0,7;Biomarker;CTD_human;Successful Treatment of Advanced Metastatic Prostate Cancer following Chemotherapy Based on Molecular Profiling.;22666205;2012
2264;FGFR4;C0376358;Malignant neoplasm of prostate;0,6;Biomarker;CTD_human;"Homozygosity for the <span class=""gene"" id=""15448004-7-21-27"">FGFR-4</span> Arg388 allele is strongly associated with the occurrence of <span class=""disease"" id=""15448004-7-88-103"">prostate cancer</span> in white men.";15448004;2005
10;NAT2;C0376358;Malignant neoplasm of prostate;0,38;Biomarker;CTD_human;"We observed an association of the slow acetylator genotype, <span class=""gene"" id=""15717312-6-60-65"">NAT 2</span>*6/<span class=""gene"" id=""15717312-6-68-72"">NAT2</span>*6 with <span class=""disease"" id=""15717312-6-80-95"">prostate cancer</span> protection (P=0.017; OR=0.31, 95% CI 0.11--0.84).";15717312;2005
4849;CNOT3;C0376358;Malignant neoplasm of prostate;0,3;Biomarker;CTD_human;The long tail of oncogenic drivers in prostate cancer.;29610475;2018
23635;SSBP2;C0376358;Malignant neoplasm of prostate;0,31;Biomarker;CTD_human;"We then did quantitative methylation-specific PCR in primary <span class=""disease"" id=""18559593-3-61-76"">prostate cancer</span> tissues to confirm hypermethylation of the <span class=""gene"" id=""18559593-3-120-125"">SSBP2</span> promoter, and analyzed its correlation with clinicopathologic data.";18559593;2008
328;APEX1;C0376358;Malignant neoplasm of prostate;0,34;Biomarker;CTD_human;"Our results suggest that inherited variability in DNA repair capacity, as reflected by polymorphisms in XRCC1 and <span class=""gene"" id=""16406883-10-114-118"">APE1</span>, is a risk factor for <span class=""disease"" id=""16406883-10-141-156"">prostate cancer</span>.";16406883;2006
5520;PPP2R2A;C0376358;Malignant neoplasm of prostate;0,3;Biomarker;CTD_human;Sequencing of prostate cancers identifies new cancer genes, routes of progression and drug targets.;29662167;2018
367;AR;C0376358;Malignant neoplasm of prostate;0,7;Therapeutic;CTD_human;Effects of manganese superoxide dismutase silencing on androgen receptor function and gene regulation: implications for castration-resistant prostate cancer.;18829485;2008
23411;SIRT1;C0376358;Malignant neoplasm of prostate;0,39;Biomarker;CTD_human;"Our data identified melatonin as a novel inhibitor of <span class=""gene"" id=""21062352-10-54-59"">Sirt1</span> and suggest that melatonin can inhibit <span class=""disease"" id=""21062352-10-99-102"">PCa</span> growth via <span class=""gene"" id=""21062352-10-114-119"">Sirt1</span> inhibition.";21062352;2011
5743;PTGS2;C0376358;Malignant neoplasm of prostate;0,4;Biomarker;CTD_human;"Nonsteroidal anti-inflammatory drugs (NSAIDs) inhibit the enzymatic activity of <span class=""gene"" id=""17609663-3-80-84"">COX2</span> and long-term use of NSAIDs appears to modestly lower the risk of <span class=""disease"" id=""17609663-3-151-166"">prostate cancer</span>.";17609663;2007
4322;MMP13;C0376358;Malignant neoplasm of prostate;0,34;Biomarker;CTD_human;"Further study of <span class=""gene"" id=""15138554-10-17-23"">MMP-13</span> in <span class=""disease"" id=""15138554-10-27-42"">prostate cancer</span> may help us to understand the progression of the cancer and can lead to new therapeutic options.";15138554;2004
6757;SSX2;C0376358;Malignant neoplasm of prostate;0,32;Biomarker;CTD_human;"We then further evaluated the expression of one antigen, <span class=""gene"" id=""17929270-5-57-62"">SSX-2</span>, in <span class=""disease"" id=""17929270-5-67-82"">prostate cancer</span> cell lines and tissues.";17929270;2008
